objectid,name,totalvotes,usersrated
174430,Gloomhaven,827,31254
161936,Pandemic Legacy  Season 1,549,34729
167791,Terraforming Mars,1252,48339
182028,Through the Ages  A New Story of Civilization,436,18269
224517,Brass  Birmingham,242,10070
233078,Twilight Imperium (Fourth Edition),203,9401
12333,Twilight Struggle,695,36644
187645,Star Wars  Rebellion,369,18991
220308,Gaia Project,314,12010
169786,Scythe,834,46526
193738,Great Western Trail,521,23133
115746,War of the Ring (Second Edition),237,11166
162886,Spirit Island,580,16231
120677,Terra Mystica,789,34958
84876,The Castles of Burgundy,1037,40196
173346,7 Wonders Duel,564,47037
180263,The 7th Continent,422,12828
124361,Concordia,374,22901
28720,Brass  Lancashire,439,16672
183394,Viticulture Essential Edition,311,21640
205637,Arkham Horror  The Card Game,511,21117
3076,Puerto Rico,1380,58836
177736,A Feast for Odin,325,13512
96848,Mage Knight Board Game,1004,25110
164928,Orl\u00e9ans,222,18119
102794,Caverna  The Cave Farmers,411,25416
266192,Wingspan,494,21261
175914,Food Chain Magnate,205,11385
31260,Agricola,1771,59458
205059,Mansions of Madness  Second Edition,232,19735
170216,Blood Rage,560,28668
55690,Kingdom Death  Monster,260,6616
221107,Pandemic Legacy  Season 2,123,8989
2651,Power Grid (Recharged Version),1107,52340
209010,Mechs vs. Minions,181,12262
25613,Through the Ages  A Story of Civilization,666,17285
164153,Star Wars  Imperial Assault,318,18129
126163,Tzolk'in  The Mayan Calendar,409,26626
237182,Root,302,13853
72125,Eclipse,583,24866
230802,Azul,613,38055
35677,Le Havre,683,24266
167355,Nemesis,144,6262
216132,Clans of Caledonia,238,11195
171623,The Voyages of Marco Polo,340,17199
121921,Robinson Crusoe  Adventures on the Cursed Island,665,29386
124742,Android  Netrunner,366,25254
185343,Anachrony Essential Edition,171,8810
68448,7 Wonders,1834,74520
28143,Race for the Galaxy,997,42615
122515,Keyflower,324,17027
62219,Dominant Species,447,16643
159675,Fields of Arle,132,6616
18602,Caylus Premium Limited Edition,694,25413
110327,Lords of Waterdeep,610,41294
157354,Five Tribes  The Djinns of Naqala,577,28094
125153,The Gallerist,177,7923
201808,Clank!  A Deck-Building Adventure,318,21265
12493,Twilight Imperium (Third Edition),474,17664
93,El Grande,511,22117
205896,Rising Sun,283,12840
146021,Eldritch Horror,646,25811
172386,Mombasa,180,9610
40834,Dominion  Intrigue,288,28271
37111,Battlestar Galactica  The Board Game,959,31058
178900,Codenames XXL,837,57212
161533,Lisboa,134,5127
163412,Patchwork,298,37986
73439,Troyes,400,16334
229853,Teotihuacan  City of Gods,161,8209
521,\u52a0\u62ff\u5927\u68cb,168,10385
199792,Everdell,147,7997
192135,Too Many Bones,107,3873
144733,Russian Railroads,190,13090
132531,Roll for the Galaxy,290,23115
191189,Aeon's End,198,7055
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,247,14768
42,Tigris & Euphrates,532,23925
102680,Trajan,220,13483
236457,Architects of the West Kingdom,202,10239
200680,Agricola (Revised Edition),117,6317
36218,Dominion,1594,71730
30549,Pandemic,1514,89581
247763,Underwater Cities,205,5117
170042,Raiders of the North Sea,186,11458
198928,Pandemic  Iberia,95,6984
103885,Star Wars  X-Wing Miniatures Game,334,21679
127023,Kemet,223,14487
146508,T.I.M.E Stories,297,21005
196340,Yokohama,133,7062
150376,Dead of Winter  A Crossroads Game,537,35465
182874,Grand Austria Hotel,399,9828
34635,Stone Age,803,40596
175155,Forbidden Stars,239,6609
172287,Champions of Midgard,121,10537
104162,Descent  Journeys in the Dark (Second Edition),383,20701
161970,Alchemists,285,16075
203993,Lorenzo il Magnifico,114,6961
147020,Star Realms,317,31323
146652,Legendary Encounters  An Alien Deck Building Game,199,10018
9609,War of the Ring,316,9605
244521,The Quacks of Quedlinburg,162,10754
148949,Istanbul,264,22106
155821,Inis,219,10089
103343,A Game of Thrones  The Board Game (Second Edition),822,25936
155426,Castles of Mad King Ludwig,278,20168
128882,The Resistance  Avalon,361,24359
14996,Ticket to Ride  Europe,678,51162
233371,Clank! In! Space!,84,6548
43111,Chaos in the Old World,384,13617
225694,Decrypto,112,7649
17133,Railways of the World,206,10671
239188,Chronicles of Crime,164,8287
70149,Ora et Labora,169,9132
14105,Commands and Colors  Ancients,142,7655
221194,Dinosaur Island,90,8420
233398,Endeavor  Age of Sail,78,4521
123260,Suburbia,296,20018
77423,The Lord of the Rings  The Card Game,613,19123
194655,Santorini,277,21311
54043,Jaipur,281,31102
43015,Hansa Teutonica,253,10716
126042,Nations,243,10457
4098,Age of Steam  Deluxe Edition,136,7881
175640,Vinhos Deluxe Edition,63,3237
10630,Memoir '44,283,23743
91,Paths of Glory,82,4216
233867,\u6b61\u8fce\u4f86\u5230,138,10627
224037,Codenames  Duet,139,10021
39463,Cosmic Encounter  42nd Anniversary Edition,541,25296
171131,Captain Sonar,275,13730
155068,Arcadia Quest,153,8341
21050,Combat Commander  Europe,132,5045
195421,Near and Far,82,5727
163068,Trickerion  Legends of Illusion,82,5573
104006,Village,275,18465
118048,Targi,101,10554
269385,The Lord of the Rings  Journeys in Middle-earth,160,4468
188920,This War of Mine  The Board Game,274,6375
31627,Ticket to Ride  Nordic Countries,172,10465
199561,Sagrada,235,19016
82222,Xia  Legends of a Drift System,171,6227
25021,Sekigahara  The Unification of Japan,51,3739
244522,That's Pretty Clever,179,9256
148228,\u062c\u0648\u0627\u0647\u0631\u064a,694,50062
9216,Goa  A New Expedition,275,10684
215,Tichu,262,12519
223321,Detective  A Modern Crime Board Game,109,4363
129437,Legendary  A Marvel Deck Building Game,388,18107
146886,La Granja,135,7244
176189,Zombicide  Black Plague,140,10798
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,445,29526
188,Go,195,13752
555,The Princes of Florence,254,14269
27833,Steam,119,9147
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,819,64145
128621,Viticulture,123,9076
182631,Star Realms  Colony Wars,33,4912
12,Ra,395,18125
54998,Cyclades,353,16355
822,Carcassonne,1868,90370
109276,Kanban  Driver's Edition,103,4912
20551,Shogun,240,12270
31481,Galaxy Trucker,384,27021
245638,Coimbra,115,6162
220877,Rajas of the Ganges,104,6619
7854,YINSH,62,6703
192291,Sushi Go Party!,137,16872
285774,Marvel Champions  The Card Game,132,2894
421,1830  The Game of Railroads and Robber Barons,104,4278
156129,Deception  Murder in Hong Kong,159,13172
176494,Isle of Skye  From Chieftain to King,291,17461
155873,Power Grid Deluxe  Europe\/North America,41,3356
140620,Lewis & Clark,253,11612
154203,Imperial Settlers,392,18906
188834,Secret Hitler,202,14048
19857,Glory to Rome,245,12435
24181,Imperial,277,8040
198994,Hero Realms,106,9684
97207,Dungeon Petz,180,11622
127060,Bora Bora,200,8516
218417,Aeon's End  War Eternal,60,2181
27708,1960  The Making of the President,219,8151
22545,Age of Empires III  The Age of Discovery,318,9631
108745,Seasons,443,18627
38453,Space Alert,316,14098
203420,Exit  The Game \u2013 The Abandoned Cabin,117,6964
193037,Dead of Winter  The Long Night,73,6616
92828,Dixit  Odyssey,148,14605
93260,Summoner Wars  Master Set,104,9954
234,Hannibal  Rome vs. Carthage,94,4641
59294,Runewars,226,7461
199478,Flamme Rouge,169,9049
146439,BattleLore (Second Edition),64,5157
3,Samurai,295,13920
66589,Navegador,163,7580
181279,Fury of Dracula (Third\/Fourth Edition),177,9614
48726,Alien Frontiers,280,13493
101721,Mage Wars Arena,142,7038
19777,Indonesia,120,3751
189932,Tyrants of the Underdark,93,3991
222509,Lords of Hellas,88,4234
13122,Antiquity,94,3471
169426,Roll Player,139,9384
760,Battle Line,161,14718
54138,Imperial 2030,137,5340
217372,The Quest for El Dorado,119,7577
144344,Rokoko,139,6801
172081,Burgle Bros.,123,7076
204583,\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5,337,24282
181304,Mysterium,287,26797
228341,Pulsar 2849,117,4735
172818,Above and Below,143,11186
176734,The Manhattan Project  Energy Empire,78,4170
158600,\u82b1\u898b\u5c0f\u8def,68,7728
118,Modern Art,232,15218
160477,Onitama,82,12015
17392,Here I Stand  Wars of the Reformation 1517-1555,168,3397
77130,Sid Meier's Civilization  The Board Game,326,13748
197376,Charterstone,183,9505
45315,Dungeon Lords,295,12385
40692,Small World,859,56405
59959,Letters from Whitechapel,351,12550
2655,Hive,250,26489
41114,Der Widerstand,420,33382
163745,Star Wars  Armada,52,4119
119890,Agricola  All Creatures Big and Small,121,11481
139976,Cthulhu Wars,101,3980
136888,Bruges,147,9391
25292,Merchants & Marauders,283,11961
264220,Tainted Grail  The Fall of Avalon,146,2019
206718,Ethnos,127,7942
254640,Just One,99,5731
209685,Century  Spice Road,189,15127
37046,Ghost Stories,326,18181
176920,Mission  Red Planet (Second Edition),121,7877
46213,Telestrations,140,10974
232832,Century  Golem Edition,57,4748
54,Tikal,275,16843
143693,Glass Road,183,8347
39856,Dixit,571,44743
5,Acquire,313,17456
182134,Evolution  Climate,83,5054
21241,Neuroshima Hex! 3.0,313,12427
70919,Takenoko,306,30438
163967,Tiny Epic Galaxies,208,13184
1,Die Macher,125,4904
140934,Arboretum,179,9818
33160,Endeavor,232,8855
25554,Notre Dame,238,11636
129622,Love Letter,854,50098
266810,Paladins of the West Kingdom,82,2472
36932,Claustrophobia,112,6417
31594,In the Year of the Dragon,245,10117
40765,Clash of Cultures,123,4899
227789,Heaven & Ale,106,4990
8217,San Juan,325,21295
