,objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,usersrated,average,baverage,avgweight,siteviews,boardgamehonor_cnt,boardgameversion_cnt,boardgamecategory,boardgamemechanic
0,174430.0,Gloomhaven,2017.0,1.0,4,1.0,2.0,31254.0,8.85292,8.58424,3.8078,8933078.0,23.0,19.0,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Campaign ,  Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board"
1,161936.0,Pandemic Legacy  Season 1,2015.0,2.0,4,1.0,1.0,34729.0,8.62499,8.47159,2.8301,2971746.0,20.0,33.0,"Environmental, Medical","Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection"
2,167791.0,Terraforming Mars,2016.0,1.0,5,2.0,2.0,48339.0,8.42299,8.26781,3.2313,4724387.0,20.0,29.0,"Economic, Environmental, Industry, Sci-Fi, Space Exploration, Territory Building","Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That"
3,182028.0,Through the Ages  A New Story of Civilization,2015.0,2.0,4,2.0,2.0,18269.0,8.49419,8.23513,4.385,2448074.0,3.0,14.0,"Card, Civilization, Economic","Action Points, Auction, Bidding, Auction: Dutch, Card Drafting, Income"
4,224517.0,Brass  Birmingham,2018.0,2.0,4,1.0,2.0,10070.0,8.62031,8.20459,3.9122,894621.0,6.0,9.0,"Economic, Industry, Transportation","Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees ,  Tech Tracks"
5,233078.0,Twilight Imperium (Fourth Edition),2017.0,3.0,6,4.0,8.0,9401.0,8.68965,8.17076,4.1966,1573904.0,2.0,11.0,"Civilization, Economic, Negotiation, Political, Sci-Fi, Space Exploration","Action Drafting, Area Majority ,  Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement"
6,12333.0,Twilight Struggle,2005.0,2.0,2,2.0,3.0,36644.0,8.31307,8.16138,3.5724,4506683.0,13.0,32.0,"Modern Warfare, Political, War","Action, Event, Advantage Token, Area Majority ,  Influence, Campaign ,  Battle Card Driven, Dice Rolling, Hand Management"
7,187645.0,Star Wars  Rebellion,2016.0,2.0,4,3.0,4.0,18991.0,8.42602,8.15575,3.6939,2949888.0,12.0,10.0,"Fighting, Miniatures, Adaptation, Sci-Fi, War","Area Majority ,  Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers"
8,220308.0,Gaia Project,2017.0,1.0,4,1.0,2.5,12010.0,8.50686,8.14076,4.3131,1600031.0,10.0,13.0,"Civilization, Economic, Sci-Fi, Space Exploration, Territory Building","Area Majority ,  Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers"
9,169786.0,Scythe,2016.0,1.0,5,1.5,1.9166666666666667,46526.0,8.26056,8.09991,3.381,5376129.0,23.0,21.0,"Economic, Fighting, Sci-Fi, Territory Building","Area Majority ,  Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units"
10,193738.0,Great Western Trail,2016.0,2.0,4,1.25,2.5,23133.0,8.28272,8.09553,3.6929,1868629.0,18.0,21.0,"American West, Animals","Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup"
11,115746.0,War of the Ring (Second Edition),2012.0,2.0,4,2.5,3.0,11166.0,8.44938,8.06417,4.0746,1995166.0,0.0,13.0,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Territory Building","Action Drafting, Area Majority ,  Influence, Area Movement, Campaign ,  Battle Card Driven, Card Play Conflict Resolution, Dice Rolling"
12,162886.0,Spirit Island,2017.0,1.0,4,1.5,2.0,16231.0,8.32434,8.03137,3.9388,1986789.0,10.0,18.0,"Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building","Area Majority ,  Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection"
13,120677.0,Terra Mystica,2012.0,2.0,5,1.0,2.5,34958.0,8.17255,8.02261,3.9518,3601644.0,22.0,15.0,"Civilization, Economic, Fantasy, Territory Building","End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers"
14,84876.0,The Castles of Burgundy,2011.0,2.0,4,0.5,1.5,40196.0,8.12741,8.01115,3.0014,2615367.0,10.0,9.0,"Dice, Medieval, Territory Building","Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based"
15,173346.0,7 Wonders Duel,2015.0,2.0,2,0.5,0.5,47037.0,8.10825,7.9799,2.2202,1668349.0,16.0,26.0,"Ancient, Card, City Building, Civilization","Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War"
16,180263.0,The 7th Continent,2017.0,1.0,4,0.08333333333333333,16.666666666666668,12828.0,8.36074,7.97479,2.8606,3405294.0,12.0,5.0,"Adventure, Card, Exploration, Sci-Fi","Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario ,  Mission ,  Campaign Game"
17,124361.0,Concordia,2013.0,2.0,5,1.6666666666666667,1.6666666666666667,22901.0,8.11021,7.94416,3.0568,1581980.0,7.0,22.0,"Ancient, Economic, War","Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement"
18,28720.0,Brass  Lancashire,2007.0,2.0,4,1.0,2.0,16672.0,8.14857,7.9366,3.8637,1918543.0,7.0,17.0,"Economic, Industry, Transportation","Hand Management, Income, Loans, Network and Route Building"
19,183394.0,Viticulture Essential Edition,2015.0,1.0,6,0.75,1.5,21640.0,8.1167,7.92244,2.9369,1039312.0,0.0,9.0,"Economic, Farming","Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement"
20,205637.0,Arkham Horror  The Card Game,2016.0,1.0,2,1.0,2.0,21117.0,8.19296,7.91787,3.3387,4217377.0,13.0,11.0,"Adventure, Card, Collectible Components, Fantasy, Horror, Novel-based","Action Points, Cooperative Game, Hand Management, Role Playing, Solo ,  Solitaire Game, Variable Player Powers"
21,3076.0,Puerto Rico,2002.0,3.0,5,1.5,2.5,58836.0,8.02082,7.90237,3.285,3552479.0,18.0,18.0,"City Building, Economic, Farming","Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive"
22,177736.0,A Feast for Odin,2016.0,1.0,4,0.5,2.0,13512.0,8.18223,7.89494,3.8462,1437938.0,6.0,15.0,"Economic, Industry, Medieval, Puzzle","Automatic Resource Growth, Dice Rolling, Income, Push Your Luck, Tile Placement, Turn Order: Pass Order"
23,96848.0,Mage Knight Board Game,2011.0,1.0,4,1.0,4.0,25110.0,8.10013,7.89194,4.2849,3923255.0,8.0,17.0,"Adventure, Exploration, Fantasy, Fighting","Card Drafting, Cooperative Game, Deck, Dice Rolling, Grid Movement, Hand Management"
24,164928.0,Orl\u00e9ans,2014.0,2.0,4,1.5,1.5,18119.0,8.08174,7.88163,3.0637,1275158.0,13.0,17.0,"Medieval, Religious, Travel","Deck, Point to Point Movement, Turn Order: Progressive, Worker Placement"
25,102794.0,Caverna  The Cave Farmers,2013.0,1.0,7,0.5,3.5,25416.0,8.0456,7.87898,3.7852,2099546.0,6.0,19.0,"Animals, Economic, Fantasy, Farming","Automatic Resource Growth, Increase Value of Unchosen Resources, Tile Placement, Worker Placement"
26,266192.0,Wingspan,2019.0,1.0,5,0.6666666666666666,1.1666666666666667,21261.0,8.10343,7.87539,2.3693,1243663.0,5.0,19.0,"Animals, Card, Economic, Educational","Card Drafting, Dice Rolling, Drafting, Hand Management, Set Collection, Solo ,  Solitaire Game"
