objectid,publisher,publisher,publisher,publisher,publisher,publisher
174430,Cephalofair Games, Albi, Asmodee, Feuerland Spiele, Games Warehouse, Gu00e9m Klub Kft.
161936,Z-Man Games, Asterion Press, Devir, Filosofia u00c9ditions, Gu00e9m Klub Kft., Hobby Japan
167791,FryxGames, Arclight, Fantasmagoria, Ghenos Games, Intrafin Games, Kilogames
182028,Czech Games Edition, Cranio Creations, Devir, DiceTree Games, Eagle-Gryphon Games, GaGa Games
224517,Roxley, BoardM Factory, Conclave Editora, CrowD Games, Funforge, Ghenos Games
233078,Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Asmodee, Asterion Press, Edge Entertainment
12333,GMT Games, (Self-Published), Asterion Press, Bard Centrum Gier, Chrononauts Games, Devir
187645,Fantasy Flight Games, ADC Blackfire Entertainment, Asterion Press, Delta Vision Publishing, Edge Entertainment, Galakta
220308,Feuerland Spiele, Cranio Creations, DiceTree Games, Edge Entertainment, Game Harbor, Games Factory
169786,Stonemaier Games, Albi, Angry Lion Games, Arclight, CrowD Games, Delta Vision Publishing
193738,eggertspiele, 999 Games, Arclight, Broadway Toys LTD, Conclave Editora, Delta Vision Publishing
115746,Ares Games, Angry Lion Games, Devir, GaGa Games, Galakta, Heidelberger Spieleverlag
162886,Greater Than Games, Ace Studios, Arrakis Games, BoardM Factory, Gu00e9m Klub Kft., Hobby World
120677,Feuerland Spiele, Bard Centrum Gier, Cranio Creations, Devir, Filosofia u00c9ditions, FunBox Jogos
84876,alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Giochi Uniti, Grow Jogos e Brinquedos, Hobby World
173346,Repos Production, ADC Blackfire Entertainment, Asterion Press, Galu00e1pagos Jogos, Gu00e9m Klub Kft., Kaissa Chess & Games
180263,Serious Poulp, Pegasus Spiele,NaN,NaN,NaN,NaN
124361,PD-Verlag, 999 Games, Cranio Creations, CrowD Games, Ediciones MasQueOca, Egmont Polska
28720,Roxley, Warfrog Games, BoardM Factory, Conclave Editora, CrowD Games, Eagle-Gryphon Games
183394,Stonemaier Games, (Unknown), Angry Lion Games, Arclight, Feuerland Spiele, Ghenos Games
205637,Fantasy Flight Games, Arclight, Asmodee, Asterion Press, Edge Entertainment, Galakta
3076,alea, Ravensburger Spieleverlag GmbH, Devir, Filosofia u00c9ditions, Kaissa Chess & Games, Lacerta
177736,Feuerland Spiele, Cranio Creations, Devir, Filosofia u00c9ditions, Game Harbor, Hobby World
