objectid,Class,Name,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Die Macher,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Dragonmaster,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Samurai,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Tal der Könige,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Acquire,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,Mare Mediterraneum,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,Cathedral,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,Lords of Creation,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,El Caballero,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,Elfenland,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,Bohnanza Fan Edition,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,Ra,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,The Settlers of Catan,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,Basari,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,Cosmic Encounter,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,MarraCash,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,Button Men XXXenophile,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,RoboRally,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,Wacky Wacky West,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,Full Metal Planète,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,Gateway to the Stars,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,magic-realm,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,Divine Right,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,Twilight Imperium,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,Battlemist,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,Age of Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,Supremacy,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,Illuminati (Second Edition),,,,,,,,,,,,,,,,,,,,,,,,,
29,3,Terrain Vague,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,Dark Tower,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,Dark World,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,Buffalo Chess,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,Arkham Horror,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,Federation and Empire,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,Dragon Masters,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,Runes,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,Darkover,,,,,,,,,,,,,,,,,,,,,,,,,
40,4,Borderlands,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,Can't Stop!,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,Tigris & Euphrates,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,David & Goliath,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,Perudo,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,Medici,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,Krieg und Frieden,,,,,,,,,,,,,,,,,,,,,,,,,
49,5,Mamma Mia!,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,Lost Cities,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,Ricochet Robots,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,Mighty Empires,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,Brauerei,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,Tikal,,,,,,,,,,,,,,,,,,,,,,,,,
55,5,Sophie's World,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,Schoko & Co.,,,,,,,,,,,,,,,,,,,,,,,,,
58,3,Kings & Things*,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,Giganten,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,Vinci,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,Fossil,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,Curse of the Mummy's Tomb,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,Samurai,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,Joan of Arc,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,The Garden Game,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,Löwenherz,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,Conquest +,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,Successors (second edition),,,,,,,,,,,,,,,,,,,,,,,,,
69,5,Bollox,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,Big City,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,Civilization,,,,,,,,,,,,,,,,,,,,,,,,,
72,3,Verräter,,,,,,,,,,,,,,,,,,,,,,,,,
