objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
174430,Gloomhaven,2017,1,1,4,60,120,827,31254,Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board
161936,Pandemic Legacy  Season 1,2015,2,2,4,60,60,549,34729,Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection
167791,Terraforming Mars,2016,3,1,5,120,120,1252,48339,Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That
182028,Through the Ages  A New Story of Civilization,2015,4,2,4,120,120,436,18269,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Income,NaN
224517,Brass  Birmingham,2018,5,2,4,60,120,242,10070,Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks
233078,Twilight Imperium (Fourth Edition),2017,6,3,6,240,480,203,9401,Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement
12333,Twilight Struggle,2005,7,2,2,120,180,695,36644,Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management
187645,Star Wars  Rebellion,2016,8,2,4,180,240,369,18991,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers
220308,Gaia Project,2017,9,1,4,60,150,314,12010,Area Majority / Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
169786,Scythe,2016,10,1,5,90,115,834,46526,Area Majority / Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units
193738,Great Western Trail,2016,11,2,4,75,150,521,23133,Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup,NaN
115746,War of the Ring (Second Edition),2012,12,2,4,150,180,237,11166,Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling
162886,Spirit Island,2017,13,1,4,90,120,580,16231,Area Majority / Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection
120677,Terra Mystica,2012,14,2,5,60,150,789,34958,End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
84876,The Castles of Burgundy,2011,15,2,4,30,90,1037,40196,Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based,NaN
173346,7 Wonders Duel,2015,16,2,2,30,30,564,47037,Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War,NaN
180263,The 7th Continent,2017,17,1,4,5,1000,422,12828,Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game
124361,Concordia,2013,18,2,5,100,100,374,22901,Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement
28720,Brass  Lancashire,2007,19,2,4,60,120,439,16672,Hand Management, Income, Loans, Network and Route Building,NaN,NaN
183394,Viticulture Essential Edition,2015,20,1,6,45,90,311,21640,Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement,NaN
205637,Arkham Horror  The Card Game,2016,21,1,2,60,120,511,21117,Action Points, Cooperative Game, Hand Management, Role Playing, Solo / Solitaire Game, Variable Player Powers
3076,Puerto Rico,2002,22,3,5,90,150,1380,58836,Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive
177736,A Feast for Odin,2016,23,1,4,30,120,325,13512,Automatic Resource Growth, Dice Rolling, Income, Push Your Luck, Tile Placement, Turn Order: Pass Order
96848,Mage Knight Board Game,2011,24,1,4,60,240,1004,25110,Card Drafting, Cooperative Game, Deck, Dice Rolling, Grid Movement, Hand Management
164928,Orl\u00e9ans,2014,25,2,4,90,90,222,18119,Deck, Point to Point Movement, Turn Order: Progressive, Worker Placement,NaN,NaN
102794,Caverna  The Cave Farmers,2013,26,1,7,30,210,411,25416,Automatic Resource Growth, Increase Value of Unchosen Resources, Tile Placement, Worker Placement,NaN,NaN
266192,Wingspan,2019,27,1,5,40,70,494,21261,Card Drafting, Dice Rolling, Drafting, Hand Management, Set Collection, Solo / Solitaire Game
175914,Food Chain Magnate,2015,28,2,5,120,240,205,11385,Card Drafting, Deck, Income, Market, Modular Board, Network and Route Building
31260,Agricola,2007,29,1,5,30,150,1771,59458,Action Drafting, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources
205059,Mansions of Madness  Second Edition,2016,30,1,5,120,180,232,19735,Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing
170216,Blood Rage,2015,31,2,4,60,90,560,28668,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory
55690,Kingdom Death  Monster,2015,32,1,4,60,180,260,6616,Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling
221107,Pandemic Legacy  Season 2,2017,33,2,4,60,60,123,8989,Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection
2651,Power Grid (Recharged Version),2004,34,2,6,120,120,1107,52340,Auction: Turn Order Until Pass, Catch the Leader, Market, Network and Route Building, Turn Order: Stat-Based,NaN
209010,Mechs vs. Minions,2016,35,2,4,60,90,181,12262,Action Queue, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Role Playing
25613,Through the Ages  A Story of Civilization,2006,36,2,4,120,120,666,17285,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management,NaN
164153,Star Wars  Imperial Assault,2014,37,2,5,60,120,318,18129,Dice Rolling, Grid Movement, Modular Board, Role Playing, Team-Based Game, Variable Player Powers
126163,Tzolk'in  The Mayan Calendar,2012,38,2,4,90,90,409,26626,End Game Bonuses, Turn Order: Claim Action, Worker Placement,NaN,NaN,NaN
237182,Root,2018,39,2,4,60,90,302,13853,Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management
72125,Eclipse,2011,40,2,6,60,180,583,24866,Area Majority / Influence, Dice Rolling, Grid Movement, Map Addition, Modular Board, Player Elimination
230802,Azul,2017,41,2,4,30,45,613,38055,Card Drafting, Pattern Building, Set Collection, Tile Placement,NaN,NaN
35677,Le Havre,2008,42,1,5,30,150,683,24266,Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Worker Placement
167355,Nemesis,2018,43,1,5,90,180,144,6262,Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination
216132,Clans of Caledonia,2017,44,1,4,30,120,238,11195,Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Variable Player Powers
171623,The Voyages of Marco Polo,2015,45,2,4,40,100,340,17199,Contracts, Dice Rolling, Income, Point to Point Movement, Set Collection, Variable Player Powers
121921,Robinson Crusoe  Adventures on the Cursed Island,2012,46,1,4,60,120,665,29386,Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Solo / Solitaire Game, Tile Placement
124742,Android  Netrunner,2012,47,2,2,45,45,366,25254,Action Points, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers,NaN
185343,Anachrony Essential Edition,2017,48,1,4,30,120,171,8810,Solo / Solitaire Game, Variable Player Powers, Worker Placement, Worker Placement,NaN,NaN
68448,7 Wonders,2010,49,2,7,30,30,1834,74520,Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers
28143,Race for the Galaxy,2007,50,2,4,30,60,997,42615,Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,NaN,NaN
122515,Keyflower,2012,51,2,6,90,120,324,17027,Auction/Bidding, End Game Bonuses, Memory, Modular Board, Network and Route Building, Ownership
62219,Dominant Species,2010,52,2,6,120,240,447,16643,Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Modular Board, Take That
159675,Fields of Arle,2014,53,1,2,60,120,132,6616,Automatic Resource Growth, Worker Placement,NaN,NaN,NaN,NaN
18602,Caylus Premium Limited Edition,2005,54,2,5,60,150,694,25413,Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Setup, Worker Placement,NaN
110327,Lords of Waterdeep,2012,55,2,5,60,120,610,41294,Card Drafting, Contracts, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That
157354,Five Tribes  The Djinns of Naqala,2014,56,2,4,40,80,577,28094,Auction/Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection
125153,The Gallerist,2015,57,1,4,60,150,177,7923,Commodity Speculation, Investment, Set Collection, Worker Placement,NaN,NaN
201808,Clank!  A Deck-Building Adventure,2016,58,2,4,30,60,318,21265,Card Drafting, Deck, Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement
12493,Twilight Imperium (Third Edition),2005,59,3,6,180,240,474,17664,Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources
93,El Grande,1995,60,2,5,60,120,511,22117,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory
205896,Rising Sun,2018,61,3,5,90,120,283,12840,Alliances, Area Majority / Influence, Area Movement, Set Collection, Simultaneous Action Selection, Take That
146021,Eldritch Horror,2013,62,1,8,120,240,646,25811,Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game
172386,Mombasa,2015,63,2,4,75,150,180,9610,Action Queue, Area Majority / Influence, Card Drafting, Deck, Hand Management, Investment
40834,Dominion  Intrigue,2009,64,2,4,30,30,288,28271,Card Drafting, Deck, Hand Management,NaN,NaN,NaN
37111,Battlestar Galactica  The Board Game,2008,65,3,6,120,180,959,31058,Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing
178900,Codenames XXL,2015,66,2,8,15,15,837,57212,Communication Limits, Memory, Push Your Luck, Team-Based Game,NaN,NaN
161533,Lisboa,2017,67,1,4,60,120,134,5127,Area Majority / Influence, Card Drafting, Hand Management, Tile Placement,NaN,NaN
163412,Patchwork,2014,68,2,2,15,30,298,37986,Card Drafting, Grid Coverage, Square Grid, Tile Placement, Time Track,NaN
73439,Troyes,2010,69,2,4,90,90,400,16334,Area Majority / Influence, Dice Rolling, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement
229853,Teotihuacan  City of Gods,2018,70,1,4,90,120,161,8209,Area Movement, Point to Point Movement, Rondel, Set Collection, Tile Placement, Variable Player Powers
521,\u52a0\u62ff\u5927\u68cb,1876,71,2,4,30,30,168,10385,Flicking, Team-Based Game,NaN,NaN,NaN,NaN
199792,Everdell,2018,72,1,4,40,80,147,7997,Drafting, End Game Bonuses, Worker Placement,NaN,NaN,NaN
192135,Too Many Bones,2017,73,1,4,60,120,107,3873,Cooperative Game, Deck, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move
144733,Russian Railroads,2013,74,2,4,90,120,190,13090,End Game Bonuses, Worker Placement,NaN,NaN,NaN,NaN
132531,Roll for the Galaxy,2014,75,2,5,45,45,290,23115,Deck, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,NaN
191189,Aeon's End,2016,76,1,4,60,60,198,7055,Card Drafting, Cooperative Game, Deck, Hand Management, Solo / Solitaire Game, Variable Phase Order
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,1981,77,1,8,60,120,247,14768,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
42,Tigris & Euphrates,1997,78,2,4,90,90,532,23925,Area Majority / Influence, Hand Management, Highest-Lowest Scoring, Set Collection, Tile Placement,NaN
102680,Trajan,2011,79,2,4,60,120,220,13483,Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection
236457,Architects of the West Kingdom,2018,80,1,5,60,80,202,10239,Drafting, Variable Player Powers, Worker Placement,NaN,NaN,NaN
200680,Agricola (Revised Edition),2016,81,1,4,30,120,117,6317,Card Drafting, Enclosure, Hand Management, Worker Placement, Solo / Solitaire Game, Team-Based Game
36218,Dominion,2008,82,2,4,30,30,1594,71730,Deck, Delayed Purchase, Hand Management, Take That, Variable Setup,NaN
30549,Pandemic,2008,83,2,4,45,45,1514,89581,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
247763,Underwater Cities,2018,84,1,4,80,150,205,5117,End Game Bonuses, Income, Network and Route Building, Turn Order: Stat-Based, Worker Placement,NaN
170042,Raiders of the North Sea,2015,85,2,4,60,80,186,11458,Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement,NaN
198928,Pandemic  Iberia,2016,86,2,5,45,45,95,6984,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
103885,Star Wars  X-Wing Miniatures Game,2012,87,2,2,30,45,334,21679,Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simultaneous Action Selection
127023,Kemet,2012,88,2,5,90,120,223,14487,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management,NaN
146508,T.I.M.E Stories,2015,89,2,4,90,90,297,21005,Cooperative Game, Dice Rolling, Storytelling, Variable Player Powers,NaN,NaN
196340,Yokohama,2016,90,2,4,90,90,133,7062,Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection
150376,Dead of Winter  A Crossroads Game,2014,91,2,5,60,120,537,35465,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph
182874,Grand Austria Hotel,2015,92,2,4,60,120,399,9828,Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities
34635,Stone Age,2008,93,2,4,60,90,803,40596,Dice Rolling, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
175155,Forbidden Stars,2015,94,2,4,120,180,239,6609,Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers
172287,Champions of Midgard,2015,95,2,4,60,90,121,10537,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers, Worker Placement with Dice Workers,NaN
104162,Descent  Journeys in the Dark (Second Edition),2012,96,2,5,120,120,383,20701,Action Points, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board
161970,Alchemists,2014,97,2,4,120,120,285,16075,Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive
203993,Lorenzo il Magnifico,2016,98,2,4,60,120,114,6961,Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement,NaN,NaN
147020,Star Realms,2014,99,2,2,20,20,317,31323,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
146652,Legendary Encounters  An Alien Deck Building Game,2014,100,1,5,30,60,199,10018,Card Drafting, Cooperative Game, Deck, Player Elimination, Solo / Solitaire Game, Team-Based Game
9609,War of the Ring,2004,101,2,4,120,120,316,9605,Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management
244521,The Quacks of Quedlinburg,2018,102,2,4,45,45,162,10754,Catch the Leader, Deck, Dice Rolling, Push Your Luck,NaN,NaN
148949,Istanbul,2014,103,2,5,40,60,264,22106,Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Race,NaN
155821,Inis,2016,104,2,4,60,90,219,10089,Action Drafting, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Modular Board
103343,A Game of Thrones  The Board Game (Second Edition),2011,105,3,6,120,240,822,25936,Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Order Counters, Player Elimination
155426,Castles of Mad King Ludwig,2014,106,1,4,90,90,278,20168,Auction/Bidding, Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement
128882,The Resistance  Avalon,2012,107,5,10,30,30,361,24359,Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game
14996,Ticket to Ride  Europe,2005,108,2,5,30,60,678,51162,Card Drafting, Hand Management, Network and Route Building, Push Your Luck, Set Collection,NaN
233371,Clank! In! Space!,2017,109,2,4,45,90,84,6548,Card Drafting, Deck, Modular Board, Player Elimination, Point to Point Movement, Push Your Luck
43111,Chaos in the Old World,2009,110,3,4,60,120,384,13617,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing
225694,Decrypto,2018,111,3,8,15,45,112,7649,Communication Limits, Targeted Clues, Team-Based Game,NaN,NaN,NaN
17133,Railways of the World,2005,112,2,6,120,120,206,10671,Action Points, Auction/Bidding, Card Drafting, Network and Route Building, Pick-up and Deliver, Tile Placement
239188,Chronicles of Crime,2018,113,1,4,60,90,164,8287,Cooperative Game, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers,NaN,NaN
70149,Ora et Labora,2011,114,1,4,60,180,169,9132,Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement,NaN
14105,Commands and Colors  Ancients,2006,115,2,2,60,60,142,7655,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board
221194,Dinosaur Island,2017,116,1,4,90,120,90,8420,Action Points, Dice Rolling, Set Collection, Tile Placement, Worker Placement,NaN
233398,Endeavor  Age of Sail,2018,117,2,5,60,90,78,4521,Area Majority / Influence, Card Drafting, Set Collection,NaN,NaN,NaN
123260,Suburbia,2012,118,1,4,90,90,296,20018,Card Drafting, Hexagon Grid, Set Collection, Tile Placement,NaN,NaN
77423,The Lord of the Rings  The Card Game,2011,119,1,2,30,60,613,19123,Cooperative Game, Hand Management, Solo / Solitaire Game, Variable Player Powers,NaN,NaN
194655,Santorini,2016,120,2,4,20,20,277,21311,Square Grid, Three Dimensional Movement, Variable Player Powers,NaN,NaN,NaN
54043,Jaipur,2009,121,2,2,30,30,281,31102,Card Drafting, Hand Management, Score-and-Reset Game, Set Collection,NaN,NaN
43015,Hansa Teutonica,2009,122,2,5,45,90,253,10716,Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks
126042,Nations,2013,123,1,5,40,200,243,10457,Automatic Resource Growth, Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement
4098,Age of Steam  Deluxe Edition,2002,124,1,6,120,120,136,7881,Auction/Bidding, Catch the Leader, Dice Rolling, Loans, Network and Route Building, Player Elimination
175640,Vinhos Deluxe Edition,2016,125,1,4,60,135,63,3237,Area Majority / Influence, Variable Phase Order, Worker Placement,NaN,NaN,NaN
10630,Memoir '44,2004,126,2,8,30,60,283,23743,Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management
91,Paths of Glory,1999,127,2,2,480,480,82,4216,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
