objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,category1,category2,category3,category4,category5,category6
174430,Gloomhaven,2017,1,1,4,60,120,827,31254,Adventure, Exploration, Fantasy, Fighting, Miniatures,error
161936,Pandemic Legacy  Season 1,2015,2,2,4,60,60,549,34729,Environmental, Medical,error,error,error,error
167791,Terraforming Mars,2016,3,1,5,120,120,1252,48339,Economic, Environmental, industry_manuf, Sci_Fi, Space Exploration, Territory Building
182028,Through the Ages  A New Story of Civilization,2015,4,2,4,120,120,436,18269,card, Civilization, Economic,error,error,error
224517,Brass  Birmingham,2018,5,2,4,60,120,242,10070,Economic, industry_manuf, Transportation,error,error,error
233078,Twilight Imperium (Fourth Edition),2017,6,3,6,240,480,203,9401,Civilization, Economic, Negotiation, Political,error, Space Exploration
12333,Twilight Struggle,2005,7,2,2,120,180,695,36644,War, Political, War,error,error,error
187645,Star Wars  Rebellion,2016,8,2,4,180,240,369,18991,Fighting, Miniatures, Adaptation, Sci_Fi, War,error
220308,Gaia Project,2017,9,1,4,60,150,314,12010,Civilization, Economic, Sci_Fi, Space Exploration, Territory Building,error
169786,Scythe,2016,10,1,5,90,115,834,46526,Economic, Fighting, Sci_Fi, Territory Building,error,error
193738,Great Western Trail,2016,11,2,4,75,150,521,23133,American West, Animals,error,error,error,error
115746,War of the Ring (Second Edition),2012,12,2,4,150,180,237,11166,Adventure, Fantasy, Fighting, Miniatures, Adaptation, Territory Building
162886,Spirit Island,2017,13,1,4,90,120,580,16231,Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building
120677,Terra Mystica,2012,14,2,5,60,150,789,34958,Civilization, Economic, Fantasy, Territory Building,error,error
84876,The Castles of Burgundy,2011,15,2,4,30,90,1037,40196,Dice, Medieval, Territory Building,error,error,error
173346,7 Wonders Duel,2015,16,2,2,30,30,564,47037,Ancient, card, City Building, Civilization,error,error
180263,The 7th Continent,2017,17,1,4,5,1000,422,12828,Adventure, card, Exploration, Sci_Fi,error,error
124361,Concordia,2013,18,2,5,100,100,374,22901,Ancient, Economic, War,error,error,error
28720,Brass  Lancashire,2007,19,2,4,60,120,439,16672,Economic, industry_manuf, Transportation,error,error,error
183394,Viticulture Essential Edition,2015,20,1,6,45,90,311,21640,Economic, Farming,error,error,error,error
205637,Arkham Horror  The Card Game,2016,21,1,2,60,120,511,21117,Adventure, card, Collectible, Fantasy, Horror, Adaptation
3076,Puerto Rico,2002,22,3,5,90,150,1380,58836,City Building, Economic, Farming,error,error,error
177736,A Feast for Odin,2016,23,1,4,30,120,325,13512,Economic, industry_manuf, Medieval, Puzzle,error,error
96848,Mage Knight Board Game,2011,24,1,4,60,240,1004,25110,Adventure, Exploration, Fantasy, Fighting,error,error
164928,Orl\u00e9ans,2014,25,2,4,90,90,222,18119,Medieval, Religious, Travel,error,error,error
102794,Caverna  The Cave Farmers,2013,26,1,7,30,210,411,25416,Animals, Economic, Fantasy, Farming,error,error
266192,Wingspan,2019,27,1,5,40,70,494,21261,Animals, card, Economic, Educational,error,error
175914,Food Chain Magnate,2015,28,2,5,120,240,205,11385,Economic, industry_manuf,error,error,error,error
31260,Agricola,2007,29,1,5,30,150,1771,59458,Animals, Economic, Farming,error,error,error
205059,Mansions of Madness  Second Edition,2016,30,1,5,120,180,232,19735,Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures
170216,Blood Rage,2015,31,2,4,60,90,560,28668,Fantasy, Fighting, Miniatures, Mythology,error,error
55690,Kingdom Death  Monster,2015,32,1,4,60,180,260,6616,Adventure, Fantasy, Horror, Adult, Miniatures, Mythology
221107,Pandemic Legacy  Season 2,2017,33,2,4,60,60,123,8989,Environmental, Exploration, Medical,error,error,error
2651,Power Grid (Recharged Version),2004,34,2,6,120,120,1107,52340,Economic, industry_manuf,error,error,error,error
209010,Mechs vs. Minions,2016,35,2,4,60,90,181,12262,Fantasy, Fighting, Miniatures, Adaptation,error,error
25613,Through the Ages  A Story of Civilization,2006,36,2,4,120,120,666,17285,Civilization, Economic,error,error,error,error
164153,Star Wars  Imperial Assault,2014,37,2,5,60,120,318,18129,Adventure, Fighting, Miniatures, Adaptation, Sci_Fi, War
