objectid,cat1,cat2,cat3,cat3,cat4,cat5
174430,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
161936,Environmental, Medical,NaN,NaN,NaN,NaN
167791,Economic, Environmental, industry_manuf, Sci_Fi, Space Exploration, Territory Building
182028,card, Civilization, Economic,NaN,NaN,NaN
224517,Economic, industry_manuf, Transportation,NaN,NaN,NaN
233078,Civilization, Economic, Negotiation, Political,NaN, Space Exploration
12333,War, Political, War,NaN,NaN,NaN
187645,Fighting, Miniatures, Adaptation, Sci_Fi, War,NaN
220308,Civilization, Economic, Sci_Fi, Space Exploration, Territory Building,NaN
169786,Economic, Fighting, Sci_Fi, Territory Building,NaN,NaN
193738,American West, Animals,NaN,NaN,NaN,NaN
115746,Adventure, Fantasy, Fighting, Miniatures, Adaptation, Territory Building
162886,Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building
120677,Civilization, Economic, Fantasy, Territory Building,NaN,NaN
84876,Dice, Medieval, Territory Building,NaN,NaN,NaN
173346,Ancient, card, City Building, Civilization,NaN,NaN
180263,Adventure, card, Exploration, Sci_Fi,NaN,NaN
124361,Ancient, Economic, War,NaN,NaN,NaN
28720,Economic, industry_manuf, Transportation,NaN,NaN,NaN
183394,Economic, Farming,NaN,NaN,NaN,NaN
205637,Adventure, card, Collectible, Fantasy, Horror, Adaptation
3076,City Building, Economic, Farming,NaN,NaN,NaN
177736,Economic, industry_manuf, Medieval, Puzzle,NaN,NaN
96848,Adventure, Exploration, Fantasy, Fighting,NaN,NaN
164928,Medieval, Religious, Travel,NaN,NaN,NaN
102794,Animals, Economic, Fantasy, Farming,NaN,NaN
266192,Animals, card, Economic, Educational,NaN,NaN
175914,Economic, industry_manuf,NaN,NaN,NaN,NaN
31260,Animals, Economic, Farming,NaN,NaN,NaN
205059,Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures
170216,Fantasy, Fighting, Miniatures, Mythology,NaN,NaN
55690,Adventure, Fantasy, Horror, Adult, Miniatures, Mythology
221107,Environmental, Exploration, Medical,NaN,NaN,NaN
2651,Economic, industry_manuf,NaN,NaN,NaN,NaN
209010,Fantasy, Fighting, Miniatures, Adaptation,NaN,NaN
25613,Civilization, Economic,NaN,NaN,NaN,NaN
164153,Adventure, Fighting, Miniatures, Adaptation, Sci_Fi, War
126163,Ancient, Civilization, Economic, Farming, Mythology,NaN
237182,Animals, Fantasy, War,NaN,NaN,NaN
72125,Civilization, Fighting, Sci_Fi, Space Exploration, War,NaN
230802,strategy, Renaissance,NaN,NaN,NaN,NaN
35677,City Building, Economic, industry_manuf, War,NaN,NaN
167355,Adventure, Horror, Miniatures, Sci_Fi,NaN,NaN
216132,Economic, Farming,NaN,NaN,NaN,NaN
171623,Dice, Economic, Medieval, Travel,NaN,NaN
121921,Adventure, Exploration, Fighting, Adaptation,NaN,NaN
124742,Bluffing, card, Collectible, Sci_Fi,NaN,NaN
185343,Economic, Sci_Fi,NaN,NaN,NaN,NaN
68448,Ancient, card, City Building, Civilization,NaN,NaN
28143,card, Civilization, Economic, Sci_Fi, Space Exploration,NaN
122515,City Building, Economic, War, Renaissance, Territory Building, Transportation
62219,Animals, Environmental, Prehistoric,NaN,NaN,NaN
159675,Economic, Farming, industry_manuf,NaN,NaN,NaN
18602,City Building, Economic, Medieval,NaN,NaN,NaN
110327,City Building, Fantasy,NaN,NaN,NaN,NaN
157354,Animals, Arabian, Fantasy, Mythology,NaN,NaN
125153,Economic,NaN,NaN,NaN,NaN,NaN
201808,Adventure, Fantasy,NaN,NaN,NaN,NaN
12493,Civilization, Negotiation, Political, Sci_Fi, Space Exploration, War
93,Medieval, Renaissance,NaN,NaN,NaN,NaN
205896,Bluffing, Fantasy, Miniatures, Mythology, Negotiation, War
146021,Adventure, Fantasy, Fighting, Horror, Adaptation, Travel
172386,Economic,NaN,NaN,NaN,NaN,NaN
40834,card, Medieval,NaN,NaN,NaN,NaN
37111,Bluffing, Deduction, Adaptation, Political, Sci_Fi, Space Exploration
178900,card, Deduction, Party Game, secret_agent, Word Game,NaN
161533,City Building, Economic, Political,NaN,NaN,NaN
163412,strategy, Puzzle,NaN,NaN,NaN,NaN
73439,Dice, Economic, Medieval,NaN,NaN,NaN
229853,Ancient,NaN,NaN,NaN,NaN,NaN
521,Dexterity,NaN,NaN,NaN,NaN,NaN
199792,Animals, card, City Building, Fantasy,NaN,NaN
192135,Adventure, Dice, Fantasy,NaN,NaN,NaN
144733,industry_manuf, Trains,NaN,NaN,NaN,NaN
132531,Civilization, Dice, Economic, Sci_Fi, Space Exploration,NaN
191189,card, Fantasy, Fighting, Sci_Fi,NaN,NaN
2511,Deduction, murder_mystery, Adaptation, Post-War, secret_agent,NaN
42,Ancient, Civilization, Territory Building,NaN,NaN,NaN
102680,Ancient, Political,NaN,NaN,NaN,NaN
236457,City Building, Medieval,NaN,NaN,NaN,NaN
200680,Animals, Economic, Farming,NaN,NaN,NaN
36218,card, Medieval,NaN,NaN,NaN,NaN
30549,Medical,NaN,NaN,NaN,NaN,NaN
247763,card, City Building, Civilization, industry_manuf, War, Sci_Fi
170042,Medieval, War,NaN,NaN,NaN,NaN
198928,Medical,NaN,NaN,NaN,NaN,NaN
103885,Aviation, Bluffing, Collectible, Miniatures, Adaptation, Sci_Fi
127023,Ancient, Fighting, Miniatures, Mythology,NaN,NaN
146508,Adventure, Adult, Puzzle, Sci_Fi,NaN,NaN
196340,Economic,NaN,NaN,NaN,NaN,NaN
150376,Bluffing, Deduction, Horror, Zombies,NaN,NaN
182874,Economic,NaN,NaN,NaN,NaN,NaN
34635,Dice, Prehistoric,NaN,NaN,NaN,NaN
175155,Bluffing, Fighting, Miniatures, Sci_Fi, War,NaN
172287,Adventure, Dice, Fantasy, Fighting, Medieval, Mythology
104162,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
161970,Deduction, Fantasy,NaN,NaN,NaN,NaN
203993,Renaissance,NaN,NaN,NaN,NaN,NaN
147020,card, Fighting, Sci_Fi,NaN,NaN,NaN
