sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
1,174430,Gloomhaven,2017,1,4,60,120,8.85292,3.8078,8933078,Adventure, Exploration, Fantasy, Fighting, Miniatures,na,Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board,31254
2,161936,Pandemic Legacy  Season 1,2015,2,4,60,60,8.62499,2.8301,2971746,Environmental, Medical,na,na,na,na,Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection,34729
3,167791,Terraforming Mars,2016,1,5,120,120,8.42299,3.2313,4724387,Economic, Environmental, industry_manuf, Sci_Fi, Space Exploration, Territory Building,Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That,48339
4,182028,Through the Ages  A New Story of Civilization,2015,2,4,120,120,8.49419,4.385,2448074,card, Civilization, Economic,na,na,na,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Income,na,18269
5,224517,Brass  Birmingham,2018,2,4,60,120,8.62031,3.9122,894621,Economic, industry_manuf, Transportation,na,na,na,Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks,10070
6,233078,Twilight Imperium (Fourth Edition),2017,3,6,240,480,8.68965,4.1966,1573904,Civilization, Economic, Negotiation, Political,na, Space Exploration,Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement,9401
7,12333,Twilight Struggle,2005,2,2,120,180,8.31307,3.5724,4506683,War, Political, War,na,na,na,Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management,36644
8,187645,Star Wars  Rebellion,2016,2,4,180,240,8.42602,3.6939,2949888,Fighting, Miniatures, Adaptation, Sci_Fi, War,na,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers,18991
9,220308,Gaia Project,2017,1,4,60,150,8.50686,4.3131,1600031,Civilization, Economic, Sci_Fi, Space Exploration, Territory Building,na,Area Majority / Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers,12010
10,169786,Scythe,2016,1,5,90,115,8.26056,3.381,5376129,Economic, Fighting, Sci_Fi, Territory Building,na,na,Area Majority / Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units,46526
11,193738,Great Western Trail,2016,2,4,75,150,8.28272,3.6929,1868629,American West, Animals,na,na,na,na,Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup,na,23133
12,115746,War of the Ring (Second Edition),2012,2,4,150,180,8.44938,4.0746,1995166,Adventure, Fantasy, Fighting, Miniatures, Adaptation, Territory Building,Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling,11166
13,162886,Spirit Island,2017,1,4,90,120,8.32434,3.9388,1986789,Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building,Area Majority / Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection,16231
14,120677,Terra Mystica,2012,2,5,60,150,8.17255,3.9518,3601644,Civilization, Economic, Fantasy, Territory Building,na,na,End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers,34958
15,84876,The Castles of Burgundy,2011,2,4,30,90,8.12741,3.0014,2615367,Dice, Medieval, Territory Building,na,na,na,Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based,na,40196
16,173346,7 Wonders Duel,2015,2,2,30,30,8.10825,2.2202,1668349,Ancient, card, City Building, Civilization,na,na,Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War,na,47037
17,180263,The 7th Continent,2017,1,4,10,1000,8.36074,2.8606,3405294,Adventure, card, Exploration, Sci_Fi,na,na,Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game,12828
18,124361,Concordia,2013,2,5,100,100,8.11021,3.0568,1581980,Ancient, Economic, War,na,na,na,Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement,22901
19,28720,Brass  Lancashire,2007,2,4,60,120,8.14857,3.8637,1918543,Economic, industry_manuf, Transportation,na,na,na,Hand Management, Income, Loans, Network and Route Building,na,na,16672
20,183394,Viticulture Essential Edition,2015,1,6,45,90,8.1167,2.9369,1039312,Economic, Farming,na,na,na,na,Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement,na,21640
21,205637,Arkham Horror  The Card Game,2016,1,2,60,120,8.19296,3.3387,4217377,Adventure, card, Collectible, Fantasy, Horror, Adaptation,Action Points, Cooperative Game, Hand Management, Role Playing, Solo / Solitaire Game, Variable Player Powers,21117
22,3076,Puerto Rico,2002,3,5,90,150,8.02082,3.285,3552479,City Building, Economic, Farming,na,na,na,Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive,58836
23,177736,A Feast for Odin,2016,1,4,30,120,8.18223,3.8462,1437938,Economic, industry_manuf, Medieval, Puzzle,na,na,Automatic Resource Growth, Dice Rolling, Income, Push Your Luck, Tile Placement, Turn Order: Pass Order,13512
24,96848,Mage Knight Board Game,2011,1,4,60,240,8.10013,4.2849,3923255,Adventure, Exploration, Fantasy, Fighting,na,na,Card Drafting, Cooperative Game, Deck, Dice Rolling, Grid Movement, Hand Management,25110
25,164928,Orl\u00e9ans,2014,2,4,90,90,8.08174,3.0637,1275158,Medieval, Religious, Travel,na,na,na,Deck, Point to Point Movement, Turn Order: Progressive, Worker Placement,na,na,18119
26,102794,Caverna  The Cave Farmers,2013,1,7,30,210,8.0456,3.7852,2099546,Animals, Economic, Fantasy, Farming,na,na,Automatic Resource Growth, Increase Value of Unchosen Resources, Tile Placement, Worker Placement,na,na,25416
