objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
174430,Gloomhaven,Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board
161936,Pandemic Legacy  Season 1,Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection
167791,Terraforming Mars,Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That
182028,Through the Ages  A New Story of Civilization,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Income,NaN
224517,Brass  Birmingham,Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks
233078,Twilight Imperium (Fourth Edition),Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement
12333,Twilight Struggle,Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management
187645,Star Wars  Rebellion,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers
220308,Gaia Project,Area Majority / Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
169786,Scythe,Area Majority / Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units
193738,Great Western Trail,Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup,NaN
115746,War of the Ring (Second Edition),Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling
162886,Spirit Island,Area Majority / Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection
120677,Terra Mystica,End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
84876,The Castles of Burgundy,Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based,NaN
173346,7 Wonders Duel,Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War,NaN
180263,The 7th Continent,Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game
124361,Concordia,Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement
28720,Brass  Lancashire,Hand Management, Income, Loans, Network and Route Building,NaN,NaN
183394,Viticulture Essential Edition,Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement,NaN
