objectid,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
174430,Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board
161936,Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection
167791,Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That
182028,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Income,NaN
224517,Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks
233078,Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement
12333,Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management
187645,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers
220308,Area Majority / Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
169786,Area Majority / Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units
193738,Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup,NaN
115746,Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling
162886,Area Majority / Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection
120677,End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers
84876,Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based,NaN
173346,Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War,NaN
180263,Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game
124361,Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement
28720,Hand Management, Income, Loans, Network and Route Building,NaN,NaN
183394,Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement,NaN
205637,Action Points, Cooperative Game, Hand Management, Role Playing, Solo / Solitaire Game, Variable Player Powers
3076,Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive
177736,Automatic Resource Growth, Dice Rolling, Income, Push Your Luck, Tile Placement, Turn Order: Pass Order
96848,Card Drafting, Cooperative Game, Deck, Dice Rolling, Grid Movement, Hand Management
164928,Deck, Point to Point Movement, Turn Order: Progressive, Worker Placement,NaN,NaN
102794,Automatic Resource Growth, Increase Value of Unchosen Resources, Tile Placement, Worker Placement,NaN,NaN
266192,Card Drafting, Dice Rolling, Drafting, Hand Management, Set Collection, Solo / Solitaire Game
175914,Card Drafting, Deck, Income, Market, Modular Board, Network and Route Building
31260,Action Drafting, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources
205059,Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing
170216,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory
55690,Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling
221107,Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection
2651,Auction: Turn Order Until Pass, Catch the Leader, Market, Network and Route Building, Turn Order: Stat-Based,NaN
209010,Action Queue, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Role Playing
25613,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management,NaN
164153,Dice Rolling, Grid Movement, Modular Board, Role Playing, Team-Based Game, Variable Player Powers
126163,End Game Bonuses, Turn Order: Claim Action, Worker Placement,NaN,NaN,NaN
237182,Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management
72125,Area Majority / Influence, Dice Rolling, Grid Movement, Map Addition, Modular Board, Player Elimination
230802,Card Drafting, Pattern Building, Set Collection, Tile Placement,NaN,NaN
35677,Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Worker Placement
167355,Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination
216132,Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Variable Player Powers
171623,Contracts, Dice Rolling, Income, Point to Point Movement, Set Collection, Variable Player Powers
121921,Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Solo / Solitaire Game, Tile Placement
124742,Action Points, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers,NaN
185343,Solo / Solitaire Game, Variable Player Powers, Worker Placement, Worker Placement,NaN,NaN
68448,Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers
28143,Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,NaN,NaN
122515,Auction/Bidding, End Game Bonuses, Memory, Modular Board, Network and Route Building, Ownership
62219,Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Modular Board, Take That
159675,Automatic Resource Growth, Worker Placement,NaN,NaN,NaN,NaN
18602,Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Setup, Worker Placement,NaN
110327,Card Drafting, Contracts, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That
157354,Auction/Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection
125153,Commodity Speculation, Investment, Set Collection, Worker Placement,NaN,NaN
201808,Card Drafting, Deck, Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement
12493,Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources
93,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory
205896,Alliances, Area Majority / Influence, Area Movement, Set Collection, Simultaneous Action Selection, Take That
146021,Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game
172386,Action Queue, Area Majority / Influence, Card Drafting, Deck, Hand Management, Investment
40834,Card Drafting, Deck, Hand Management,NaN,NaN,NaN
37111,Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing
178900,Communication Limits, Memory, Push Your Luck, Team-Based Game,NaN,NaN
161533,Area Majority / Influence, Card Drafting, Hand Management, Tile Placement,NaN,NaN
163412,Card Drafting, Grid Coverage, Square Grid, Tile Placement, Time Track,NaN
73439,Area Majority / Influence, Dice Rolling, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement
229853,Area Movement, Point to Point Movement, Rondel, Set Collection, Tile Placement, Variable Player Powers
521,Flicking, Team-Based Game,NaN,NaN,NaN,NaN
199792,Drafting, End Game Bonuses, Worker Placement,NaN,NaN,NaN
192135,Cooperative Game, Deck, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move
144733,End Game Bonuses, Worker Placement,NaN,NaN,NaN,NaN
132531,Deck, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,NaN
191189,Card Drafting, Cooperative Game, Deck, Hand Management, Solo / Solitaire Game, Variable Phase Order
2511,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
42,Area Majority / Influence, Hand Management, Highest-Lowest Scoring, Set Collection, Tile Placement,NaN
102680,Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection
236457,Drafting, Variable Player Powers, Worker Placement,NaN,NaN,NaN
200680,Card Drafting, Enclosure, Hand Management, Worker Placement, Solo / Solitaire Game, Team-Based Game
36218,Deck, Delayed Purchase, Hand Management, Take That, Variable Setup,NaN
30549,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
247763,End Game Bonuses, Income, Network and Route Building, Turn Order: Stat-Based, Worker Placement,NaN
170042,Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement,NaN
198928,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
103885,Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simultaneous Action Selection
127023,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management,NaN
146508,Cooperative Game, Dice Rolling, Storytelling, Variable Player Powers,NaN,NaN
196340,Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection
150376,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph
182874,Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities
34635,Dice Rolling, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
175155,Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers
172287,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers, Worker Placement with Dice Workers,NaN
104162,Action Points, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board
161970,Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive
203993,Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement,NaN,NaN
147020,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
146652,Card Drafting, Cooperative Game, Deck, Player Elimination, Solo / Solitaire Game, Team-Based Game
9609,Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management
244521,Catch the Leader, Deck, Dice Rolling, Push Your Luck,NaN,NaN
148949,Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Race,NaN
155821,Action Drafting, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Modular Board
103343,Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Order Counters, Player Elimination
155426,Auction/Bidding, Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement
128882,Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game
14996,Card Drafting, Hand Management, Network and Route Building, Push Your Luck, Set Collection,NaN
233371,Card Drafting, Deck, Modular Board, Player Elimination, Point to Point Movement, Push Your Luck
43111,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing
225694,Communication Limits, Targeted Clues, Team-Based Game,NaN,NaN,NaN
17133,Action Points, Auction/Bidding, Card Drafting, Network and Route Building, Pick-up and Deliver, Tile Placement
239188,Cooperative Game, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers,NaN,NaN
70149,Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement,NaN
14105,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board
221194,Action Points, Dice Rolling, Set Collection, Tile Placement, Worker Placement,NaN
233398,Area Majority / Influence, Card Drafting, Set Collection,NaN,NaN,NaN
123260,Card Drafting, Hexagon Grid, Set Collection, Tile Placement,NaN,NaN
77423,Cooperative Game, Hand Management, Solo / Solitaire Game, Variable Player Powers,NaN,NaN
194655,Square Grid, Three Dimensional Movement, Variable Player Powers,NaN,NaN,NaN
54043,Card Drafting, Hand Management, Score-and-Reset Game, Set Collection,NaN,NaN
43015,Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks
126042,Automatic Resource Growth, Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement
4098,Auction/Bidding, Catch the Leader, Dice Rolling, Loans, Network and Route Building, Player Elimination
175640,Area Majority / Influence, Variable Phase Order, Worker Placement,NaN,NaN,NaN
10630,Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management
91,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
233867,Paper-and-Pencil, Pattern Building,NaN,NaN,NaN,NaN
224037,Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game,NaN,NaN
39463,Alliances, Auction/Bidding, Hand Management, Negotiation, Race, Simultaneous Action Selection
171131,Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment
155068,Dice Rolling, Grid Movement, Modular Board, Take That, Variable Player Powers,NaN
21050,Campaign / Battle Card Driven, Hexagon Grid, Simulation, Variable Phase Order,NaN,NaN
195421,Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Set Collection, Storytelling
163068,Action Points, Action Queue, Catch the Leader, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based
104006,Action Drafting, Contracts, Set Collection, Worker Placement, Worker Placement,NaN
118048,Modular Board, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
269385,Cooperative Game, Deck, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers
188920,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing
31627,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
199561,Card Drafting, Dice Rolling, Pattern Building, Set Collection,NaN,NaN
82222,Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver
25021,Hand Management, Point to Point Movement, Secret Unit Deployment,NaN,NaN,NaN
244522,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
148228,Card Drafting, Contracts, Set Collection,NaN,NaN,NaN
9216,Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck,NaN,NaN
215,Betting and Bluffing, Hand Management, Ladder Climbing, Team-Based Game,NaN,NaN
223321,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
129437,Deck, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Setup,NaN
146886,Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Hand Management, Income, Simultaneous Action Selection
