object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,total_votes,users_rated,average,baverage,stddev,complexity,site_views
174430,Gloomhaven,2017,1,4,60,120,Adventure, Exploration, Fantasy, Fighting, Miniatures,error,Campaign / Battle Card Driven, Cooperative Game, Grid Movement, Hand Management, Legacy Game, Modular Board,827,31254,8.85292,8.58424,1.59819,3.8078,8933078
161936,Pandemic Legacy  Season 1,2015,2,4,60,60,Environmental, Medical,error,error,error,error,Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection,549,34729,8.62499,8.47159,1.59463,2.8301,2971746
167791,Terraforming Mars,2016,1,5,120,120,Economic, Environmental, industry_manuf, Sci_Fi, Space Exploration, Territory Building,Card Drafting, End Game Bonuses, Hand Management, Income, Set Collection, Take That,1252,48339,8.42299,8.26781,1.36938,3.2313,4724387
182028,Through the Ages  A New Story of Civilization,2015,2,4,120,120,card, Civilization, Economic,error,error,error,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Income,NaN,436,18269,8.49419,8.23513,1.49542,4.385,2448074
224517,Brass  Birmingham,2018,2,4,60,120,Economic, industry_manuf, Transportation,error,error,error,Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks,242,10070,8.62031,8.20459,1.22876,3.9122,894621
233078,Twilight Imperium (Fourth Edition),2017,3,6,240,480,Civilization, Economic, Negotiation, Political,error, Space Exploration,Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement,203,9401,8.68965,8.17076,1.61115,4.1966,1573904
12333,Twilight Struggle,2005,2,2,120,180,War, Political, War,error,error,error,Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management,695,36644,8.31307,8.16138,1.5829,3.5724,4506683
187645,Star Wars  Rebellion,2016,2,4,180,240,Fighting, Miniatures, Adaptation, Sci_Fi, War,error,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers,369,18991,8.42602,8.15575,1.38105,3.6939,2949888
220308,Gaia Project,2017,1,4,60,150,Civilization, Economic, Sci_Fi, Space Exploration, Territory Building,error,Area Majority / Influence, Income, Modular Board, Network and Route Building, Turn Order: Pass Order, Variable Player Powers,314,12010,8.50686,8.14076,1.41456,4.3131,1600031
169786,Scythe,2016,1,5,90,115,Economic, Fighting, Sci_Fi, Territory Building,error,error,Area Majority / Influence, Force Commitment, Grid Movement, Hexagon Grid, Movement Points, Moving Multiple Units,834,46526,8.26056,8.09991,1.43648,3.381,5376129
193738,Great Western Trail,2016,2,4,75,150,American West, Animals,error,error,error,error,Deck, Hand Management, Point to Point Movement, Set Collection, Variable Setup,NaN,521,23133,8.28272,8.09553,1.26452,3.6929,1868629
115746,War of the Ring (Second Edition),2012,2,4,150,180,Adventure, Fantasy, Fighting, Miniatures, Adaptation, Territory Building,Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling,237,11166,8.44938,8.06417,1.51435,4.0746,1995166
162886,Spirit Island,2017,1,4,90,120,Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building,Area Majority / Influence, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection,580,16231,8.32434,8.03137,1.44842,3.9388,1986789
120677,Terra Mystica,2012,2,5,60,150,Civilization, Economic, Fantasy, Territory Building,error,error,End Game Bonuses, Income, Increase Value of Unchosen Resources, Network and Route Building, Turn Order: Pass Order, Variable Player Powers,789,34958,8.17255,8.02261,1.46769,3.9518,3601644
84876,The Castles of Burgundy,2011,2,4,30,90,Dice, Medieval, Territory Building,error,error,error,Dice Rolling, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based,NaN,1037,40196,8.12741,8.01115,1.241,3.0014,2615367
173346,7 Wonders Duel,2015,2,2,30,30,Ancient, card, City Building, Civilization,error,error,Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War,NaN,564,47037,8.10825,7.9799,1.1686,2.2202,1668349
180263,The 7th Continent,2017,1,4,5,1000,Adventure, card, Exploration, Sci_Fi,error,error,Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game,422,12828,8.36074,7.97479,1.58457,2.8606,3405294
124361,Concordia,2013,2,5,100,100,Ancient, Economic, War,error,error,error,Action Retrieval, Advantage Token, Card Drafting, Command Cards, Deck, Point to Point Movement,374,22901,8.11021,7.94416,1.18882,3.0568,1581980
28720,Brass  Lancashire,2007,2,4,60,120,Economic, industry_manuf, Transportation,error,error,error,Hand Management, Income, Loans, Network and Route Building,NaN,NaN,439,16672,8.14857,7.9366,1.37786,3.8637,1918543
183394,Viticulture Essential Edition,2015,1,6,45,90,Economic, Farming,error,error,error,error,Contracts, Hand Management, Turn Order: Auction, Worker Placement, Worker Placement,NaN,311,21640,8.1167,7.92244,1.25119,2.9369,1039312
205637,Arkham Horror  The Card Game,2016,1,2,60,120,Adventure, card, Collectible, Fantasy, Horror, Adaptation,Action Points, Cooperative Game, Hand Management, Role Playing, Solo / Solitaire Game, Variable Player Powers,511,21117,8.19296,7.91787,1.45177,3.3387,4217377
3076,Puerto Rico,2002,3,5,90,150,City Building, Economic, Farming,error,error,error,Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive,1380,58836,8.02082,7.90237,1.37975,3.285,3552479
177736,A Feast for Odin,2016,1,4,30,120,Economic, industry_manuf, Medieval, Puzzle,error,error,Automatic Resource Growth, Dice Rolling, Income, Push Your Luck, Tile Placement, Turn Order: Pass Order,325,13512,8.18223,7.89494,1.35507,3.8462,1437938
