objectid,name,category1,category2,category3,category4,category5,category6
174430,Gloomhaven,Adventure, Exploration, Fantasy, Fighting, Miniatures,error
161936,Pandemic Legacy  Season 1,Environmental, Medical,error,error,error,error
167791,Terraforming Mars,Economic, Environmental, industry_manuf, Sci_Fi, Space Exploration, Territory Building
182028,Through the Ages  A New Story of Civilization,card, Civilization, Economic,error,error,error
224517,Brass  Birmingham,Economic, industry_manuf, Transportation,error,error,error
233078,Twilight Imperium (Fourth Edition),Civilization, Economic, Negotiation, Political,error, Space Exploration
12333,Twilight Struggle,War, Political, War,error,error,error
187645,Star Wars  Rebellion,Fighting, Miniatures, Adaptation, Sci_Fi, War,error
220308,Gaia Project,Civilization, Economic, Sci_Fi, Space Exploration, Territory Building,error
169786,Scythe,Economic, Fighting, Sci_Fi, Territory Building,error,error
193738,Great Western Trail,American West, Animals,error,error,error,error
115746,War of the Ring (Second Edition),Adventure, Fantasy, Fighting, Miniatures, Adaptation, Territory Building
162886,Spirit Island,Age of Reason, Environmental, Fantasy, Fighting, Mythology, Territory Building
120677,Terra Mystica,Civilization, Economic, Fantasy, Territory Building,error,error
84876,The Castles of Burgundy,Dice, Medieval, Territory Building,error,error,error
173346,7 Wonders Duel,Ancient, card, City Building, Civilization,error,error
180263,The 7th Continent,Adventure, card, Exploration, Sci_Fi,error,error
124361,Concordia,Ancient, Economic, War,error,error,error
28720,Brass  Lancashire,Economic, industry_manuf, Transportation,error,error,error
183394,Viticulture Essential Edition,Economic, Farming,error,error,error,error
205637,Arkham Horror  The Card Game,Adventure, card, Collectible, Fantasy, Horror, Adaptation
3076,Puerto Rico,City Building, Economic, Farming,error,error,error
177736,A Feast for Odin,Economic, industry_manuf, Medieval, Puzzle,error,error
96848,Mage Knight Board Game,Adventure, Exploration, Fantasy, Fighting,error,error
164928,Orl\u00e9ans,Medieval, Religious, Travel,error,error,error
102794,Caverna  The Cave Farmers,Animals, Economic, Fantasy, Farming,error,error
266192,Wingspan,Animals, card, Economic, Educational,error,error
175914,Food Chain Magnate,Economic, industry_manuf,error,error,error,error
31260,Agricola,Animals, Economic, Farming,error,error,error
205059,Mansions of Madness  Second Edition,Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures
170216,Blood Rage,Fantasy, Fighting, Miniatures, Mythology,error,error
55690,Kingdom Death  Monster,Adventure, Fantasy, Horror, Adult, Miniatures, Mythology
221107,Pandemic Legacy  Season 2,Environmental, Exploration, Medical,error,error,error
2651,Power Grid (Recharged Version),Economic, industry_manuf,error,error,error,error
209010,Mechs vs. Minions,Fantasy, Fighting, Miniatures, Adaptation,error,error
25613,Through the Ages  A Story of Civilization,Civilization, Economic,error,error,error,error
164153,Star Wars  Imperial Assault,Adventure, Fighting, Miniatures, Adaptation, Sci_Fi, War
126163,Tzolk'in  The Mayan Calendar,Ancient, Civilization, Economic, Farming, Mythology,error
237182,Root,Animals, Fantasy, War,error,error,error
72125,Eclipse,Civilization, Fighting, Sci_Fi, Space Exploration, War,error
230802,Azul,strategy, Renaissance,error,error,error,error
35677,Le Havre,City Building, Economic, industry_manuf, War,error,error
167355,Nemesis,Adventure, Horror, Miniatures, Sci_Fi,error,error
216132,Clans of Caledonia,Economic, Farming,error,error,error,error
171623,The Voyages of Marco Polo,Dice, Economic, Medieval, Travel,error,error
121921,Robinson Crusoe  Adventures on the Cursed Island,Adventure, Exploration, Fighting, Adaptation,error,error
124742,Android  Netrunner,Bluffing, card, Collectible, Sci_Fi,error,error
185343,Anachrony Essential Edition,Economic, Sci_Fi,error,error,error,error
68448,7 Wonders,Ancient, card, City Building, Civilization,error,error
28143,Race for the Galaxy,card, Civilization, Economic, Sci_Fi, Space Exploration,error
122515,Keyflower,City Building, Economic, War, Renaissance, Territory Building, Transportation
62219,Dominant Species,Animals, Environmental, Prehistoric,error,error,error
159675,Fields of Arle,Economic, Farming, industry_manuf,error,error,error
18602,Caylus Premium Limited Edition,City Building, Economic, Medieval,error,error,error
110327,Lords of Waterdeep,City Building, Fantasy,error,error,error,error
157354,Five Tribes  The Djinns of Naqala,Animals, Arabian, Fantasy, Mythology,error,error
125153,The Gallerist,Economic,error,error,error,error,error
201808,Clank!  A Deck-Building Adventure,Adventure, Fantasy,error,error,error,error
12493,Twilight Imperium (Third Edition),Civilization, Negotiation, Political, Sci_Fi, Space Exploration, War
93,El Grande,Medieval, Renaissance,error,error,error,error
205896,Rising Sun,Bluffing, Fantasy, Miniatures, Mythology, Negotiation, War
146021,Eldritch Horror,Adventure, Fantasy, Fighting, Horror, Adaptation, Travel
172386,Mombasa,Economic,error,error,error,error,error
40834,Dominion  Intrigue,card, Medieval,error,error,error,error
37111,Battlestar Galactica  The Board Game,Bluffing, Deduction, Adaptation, Political, Sci_Fi, Space Exploration
178900,Codenames XXL,card, Deduction, Party Game, secret_agent, Word Game,error
161533,Lisboa,City Building, Economic, Political,error,error,error
163412,Patchwork,strategy, Puzzle,error,error,error,error
73439,Troyes,Dice, Economic, Medieval,error,error,error
229853,Teotihuacan  City of Gods,Ancient,error,error,error,error,error
521,\u52a0\u62ff\u5927\u68cb,Dexterity,error,error,error,error,error
199792,Everdell,Animals, card, City Building, Fantasy,error,error
192135,Too Many Bones,Adventure, Dice, Fantasy,error,error,error
144733,Russian Railroads,industry_manuf, Trains,error,error,error,error
132531,Roll for the Galaxy,Civilization, Dice, Economic, Sci_Fi, Space Exploration,error
