objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
174430,Gloomhaven,2017,1,4,60,120
161936,Pandemic Legacy  Season 1,2015,2,4,60,60
167791,Terraforming Mars,2016,1,5,120,120
182028,Through the Ages  A New Story of Civilization,2015,2,4,120,120
224517,Brass  Birmingham,2018,2,4,60,120
233078,Twilight Imperium (Fourth Edition),2017,3,6,240,480
12333,Twilight Struggle,2005,2,2,120,180
187645,Star Wars  Rebellion,2016,2,4,180,240
220308,Gaia Project,2017,1,4,60,150
169786,Scythe,2016,1,5,90,115
193738,Great Western Trail,2016,2,4,75,150
115746,War of the Ring (Second Edition),2012,2,4,150,180
162886,Spirit Island,2017,1,4,90,120
120677,Terra Mystica,2012,2,5,60,150
84876,The Castles of Burgundy,2011,2,4,30,90
173346,7 Wonders Duel,2015,2,2,30,30
180263,The 7th Continent,2017,1,4,5,1000
124361,Concordia,2013,2,5,100,100
28720,Brass  Lancashire,2007,2,4,60,120
183394,Viticulture Essential Edition,2015,1,6,45,90
205637,Arkham Horror  The Card Game,2016,1,2,60,120
3076,Puerto Rico,2002,3,5,90,150
177736,A Feast for Odin,2016,1,4,30,120
96848,Mage Knight Board Game,2011,1,4,60,240
164928,Orl\u00e9ans,2014,2,4,90,90
102794,Caverna  The Cave Farmers,2013,1,7,30,210
266192,Wingspan,2019,1,5,40,70
175914,Food Chain Magnate,2015,2,5,120,240
31260,Agricola,2007,1,5,30,150
205059,Mansions of Madness  Second Edition,2016,1,5,120,180
170216,Blood Rage,2015,2,4,60,90
55690,Kingdom Death  Monster,2015,1,4,60,180
221107,Pandemic Legacy  Season 2,2017,2,4,60,60
2651,Power Grid (Recharged Version),2004,2,6,120,120
209010,Mechs vs. Minions,2016,2,4,60,90
25613,Through the Ages  A Story of Civilization,2006,2,4,120,120
164153,Star Wars  Imperial Assault,2014,2,5,60,120
126163,Tzolk'in  The Mayan Calendar,2012,2,4,90,90
237182,Root,2018,2,4,60,90
72125,Eclipse,2011,2,6,60,180
230802,Azul,2017,2,4,30,45
35677,Le Havre,2008,1,5,30,150
167355,Nemesis,2018,1,5,90,180
216132,Clans of Caledonia,2017,1,4,30,120
171623,The Voyages of Marco Polo,2015,2,4,40,100
121921,Robinson Crusoe  Adventures on the Cursed Island,2012,1,4,60,120
124742,Android  Netrunner,2012,2,2,45,45
185343,Anachrony Essential Edition,2017,1,4,30,120
68448,7 Wonders,2010,2,7,30,30
28143,Race for the Galaxy,2007,2,4,30,60
122515,Keyflower,2012,2,6,90,120
62219,Dominant Species,2010,2,6,120,240
159675,Fields of Arle,2014,1,2,60,120
18602,Caylus Premium Limited Edition,2005,2,5,60,150
110327,Lords of Waterdeep,2012,2,5,60,120
157354,Five Tribes  The Djinns of Naqala,2014,2,4,40,80
125153,The Gallerist,2015,1,4,60,150
201808,Clank!  A Deck-Building Adventure,2016,2,4,30,60
12493,Twilight Imperium (Third Edition),2005,3,6,180,240
93,El Grande,1995,2,5,60,120
205896,Rising Sun,2018,3,5,90,120
146021,Eldritch Horror,2013,1,8,120,240
172386,Mombasa,2015,2,4,75,150
40834,Dominion  Intrigue,2009,2,4,30,30
37111,Battlestar Galactica  The Board Game,2008,3,6,120,180
178900,Codenames XXL,2015,2,8,15,15
161533,Lisboa,2017,1,4,60,120
163412,Patchwork,2014,2,2,15,30
73439,Troyes,2010,2,4,90,90
229853,Teotihuacan  City of Gods,2018,1,4,90,120
521,\u52a0\u62ff\u5927\u68cb,1876,2,4,30,30
199792,Everdell,2018,1,4,40,80
192135,Too Many Bones,2017,1,4,60,120
144733,Russian Railroads,2013,2,4,90,120
132531,Roll for the Galaxy,2014,2,5,45,45
191189,Aeon's End,2016,1,4,60,60
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,1981,1,8,60,120
42,Tigris & Euphrates,1997,2,4,90,90
102680,Trajan,2011,2,4,60,120
236457,Architects of the West Kingdom,2018,1,5,60,80
200680,Agricola (Revised Edition),2016,1,4,30,120
36218,Dominion,2008,2,4,30,30
30549,Pandemic,2008,2,4,45,45
247763,Underwater Cities,2018,1,4,80,150
170042,Raiders of the North Sea,2015,2,4,60,80
198928,Pandemic  Iberia,2016,2,5,45,45
103885,Star Wars  X-Wing Miniatures Game,2012,2,2,30,45
127023,Kemet,2012,2,5,90,120
146508,T.I.M.E Stories,2015,2,4,90,90
196340,Yokohama,2016,2,4,90,90
150376,Dead of Winter  A Crossroads Game,2014,2,5,60,120
182874,Grand Austria Hotel,2015,2,4,60,120
34635,Stone Age,2008,2,4,60,90
175155,Forbidden Stars,2015,2,4,120,180
172287,Champions of Midgard,2015,2,4,60,90
104162,Descent  Journeys in the Dark (Second Edition),2012,2,5,120,120
161970,Alchemists,2014,2,4,120,120
203993,Lorenzo il Magnifico,2016,2,4,60,120
147020,Star Realms,2014,2,2,20,20
146652,Legendary Encounters  An Alien Deck Building Game,2014,1,5,30,60
9609,War of the Ring,2004,2,4,120,120
244521,The Quacks of Quedlinburg,2018,2,4,45,45
148949,Istanbul,2014,2,5,40,60
155821,Inis,2016,2,4,60,90
103343,A Game of Thrones  The Board Game (Second Edition),2011,3,6,120,240
155426,Castles of Mad King Ludwig,2014,1,4,90,90
128882,The Resistance  Avalon,2012,5,10,30,30
14996,Ticket to Ride  Europe,2005,2,5,30,60
233371,Clank! In! Space!,2017,2,4,45,90
43111,Chaos in the Old World,2009,3,4,60,120
225694,Decrypto,2018,3,8,15,45
17133,Railways of the World,2005,2,6,120,120
239188,Chronicles of Crime,2018,1,4,60,90
70149,Ora et Labora,2011,1,4,60,180
14105,Commands and Colors  Ancients,2006,2,2,60,60
221194,Dinosaur Island,2017,1,4,90,120
233398,Endeavor  Age of Sail,2018,2,5,60,90
123260,Suburbia,2012,1,4,90,90
77423,The Lord of the Rings  The Card Game,2011,1,2,30,60
194655,Santorini,2016,2,4,20,20
54043,Jaipur,2009,2,2,30,30
43015,Hansa Teutonica,2009,2,5,45,90
126042,Nations,2013,1,5,40,200
4098,Age of Steam  Deluxe Edition,2002,1,6,120,120
175640,Vinhos Deluxe Edition,2016,1,4,60,135
10630,Memoir '44,2004,2,8,30,60
91,Paths of Glory,1999,2,2,480,480
233867,\u6b61\u8fce\u4f86\u5230,2018,1,100,25,25
224037,Codenames  Duet,2017,2,4,15,30
39463,Cosmic Encounter  42nd Anniversary Edition,2008,3,5,60,120
171131,Captain Sonar,2016,2,8,45,60
155068,Arcadia Quest,2014,2,4,60,60
21050,Combat Commander  Europe,2006,2,2,60,180
195421,Near and Far,2017,2,4,90,120
163068,Trickerion  Legends of Illusion,2015,2,4,60,180
104006,Village,2011,2,4,60,90
118048,Targi,2012,2,2,60,60
269385,The Lord of the Rings  Journeys in Middle-earth,2019,1,5,60,120
188920,This War of Mine  The Board Game,2017,1,6,45,120
31627,Ticket to Ride  Nordic Countries,2007,2,3,30,60
199561,Sagrada,2017,1,4,30,45
82222,Xia  Legends of a Drift System,2014,3,5,60,180
25021,Sekigahara  The Unification of Japan,2011,2,2,180,180
244522,That's Pretty Clever,2018,1,4,30,30
148228,\u062c\u0648\u0627\u0647\u0631\u064a,2014,2,4,30,30
9216,Goa  A New Expedition,2004,2,4,90,90
215,Tichu,1991,4,4,60,60
223321,Detective  A Modern Crime Board Game,2018,1,5,120,180
129437,Legendary  A Marvel Deck Building Game,2012,1,5,30,60
146886,La Granja,2014,1,4,90,120
176189,Zombicide  Black Plague,2015,1,6,60,180
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,1993,2,2,20,20
188,Go,-2200,2,2,30,180
555,The Princes of Florence,2000,2,5,75,100
27833,Steam,2009,3,5,90,90
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2004,2,5,30,60
128621,Viticulture,2013,2,6,90,90
182631,Star Realms  Colony Wars,2015,2,2,20,20
12,Ra,1999,2,5,45,60
54998,Cyclades,2009,2,5,60,90
